ID,REG_NO,NAME,CONTACT,EMAIL,COURSE,BRANCH,INTERNSHIP,PLACEMENT,RESUME,ADVICE,DOB,STATE,ABOUT,PROFILEPICTURE,HOBBY,LANGUAGES,SKILLS,TWELFTH,12_YEAR,12_RESULT,TENTH,10_YEAR,10_RESULT,EXTRA_CURRICULAR,CLUBS,CGPA,CERTIFICATES,INTERN_COMP,INTERN_PERIOD,PLACE_COMP,PLACE_PERIOD
BTBTC21310,2011,"Rekha Chauhan",9287654991,btbtc21300_rekha@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-12-15,Sikkim,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21311,2012,"Sheetal Saxena",8765922331,btbtc21300_sheetal@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-10-14,Rajasthan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21312,2013,"Aishwarya Yadav",9532189625,btbtc21300_aishwarya@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-06-29,"Madhya Pradesh",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21314,2015,"Deepika Desai",8959821004,btbtc21314_deepika@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-04-20,Mizoram,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21315,2016,"Simran Kaur",9258643218,btbtc21315_simran@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-11-09,Maharashtra,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21316,2017,"Ananya Patel",8292726252,btbtc21316_ananya@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-02-21,Maharashtra,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21318,2019,"Diya Rao",9242322211,btbtc21318_diya@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-08-25,"West Bengal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21319,2020,"Komal Bhat",9859620321,btbtc21319_komal@banasthali.in,BTECH,"COMPUTER SCIENCE",NULL,NULL,NULL,NULL,2002-01-17,Gujarat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21320,2022,"Nancy Kapoor ",9988776655,btbtc21319_nancy@banasthali.in,BTECH,"COMPUTER SCIENCE",NULL,NULL,NULL,NULL,2002-06-07,Gujarat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC22000,2000/2211,"Jeeya Garg",9092746655,gargjiya815@gmail.com,BTECH,CS,NULL,NULL,NULL,NULL,2004-04-02,U.P.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC22083,2022/2020,"Isha Rawat",7240787001,btbtc22083_isha@banasthali.in,BTECH,CS,SDE,AAA,NULL,study.,2004-01-05,U.P.,hi,user_BTBTC22083.jpg,"Hobby1, Hobby2","Lang1, L2, Lang3","Skill, Sk1, Skill2",BVB,2020,99.99,BVB,2022,100,"E, F, G","A, B, C",9.18,"Hack1, Hack2",VISA,MAY-JUNE,VISA,DEC
BTBTC22199,2022/2022,JANHVI,6207428540,btbtc22199_janhvi@banasthali.in,BTECH,"COMPUTER SCIENCE",NULL,NULL,NULL,NULL,2003-05-25,BIHAR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC22304,2022/2021,"Jaina Khanooja",7008009001,btbtc22304_jaina@banasthali.in,BTECH,"COMPUTER SCIENCE",NULL,NULL,NULL,NULL,2004-01-01,"Madhya Pradesh",NULL,"default-profile.jpg
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTT102,2000/012,"Ana Lisa",8890909090,ana@banasthali.in,,,,NULL,NULL,NULL,2004-02-03,,,user_BTT102.jpg,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
